model,episodes,success_rate,mean_total_reward,median_total_reward,mean_steps,median_steps,mean_ttf_success_only,median_ttf_success_only,mean_ttf_or_episode_len_all,mean_revisit_fraction,mean_repeated_search_fraction,mean_co_occupancy_fraction,mean_pairwise_distance,mean_prob_at_search,mean_prob_at_visit,mean_unique_cells_total,mean_entropy_drop,mean_backtrack_rate,mean_stay_rate
CNN S2,500,0.78,1.4496,1.8599999999999999,34.04,15.0,15.153846153846153,12.0,34.04,0.32397162856181183,0.41123000629646433,0.21578278499747702,11.802978954392975,0.07970825705132788,0.023583061140446622,25.26,-1.9500989541602294,4.950495049504951e-05,0.3081619766984322
CNN+Roles S2,500,0.816,1.51102,1.87,31.498,14.0,15.825980392156863,12.0,31.498,0.31225109100493886,0.40243468811239574,0.17697539236583923,12.923018920872526,0.08755976209679205,0.027051628369766337,25.176,-1.8550005334694852,0.0010554890277223396,0.2957288226693269
delta(B-A),0,0.03599999999999992,0.06142000000000003,0.010000000000000231,-2.541999999999998,-1.0,0.6721342383107096,0.0,-2.541999999999998,-0.011720537556872967,-0.00879531818406859,-0.038807392631637794,1.1200399664795508,0.007851505045464169,0.003468567229319715,-0.08400000000000318,0.09509842069074415,0.00100598407722729,-0.012433154029105331
