model,episodes,success_rate,mean_total_reward,median_total_reward,mean_steps,median_steps,mean_ttf_success_only,median_ttf_success_only,mean_ttf_or_episode_len_all,mean_revisit_fraction,mean_repeated_search_fraction,mean_co_occupancy_fraction,mean_pairwise_distance,mean_prob_at_search,mean_prob_at_visit,mean_unique_cells_total,mean_entropy_drop,mean_backtrack_rate,mean_stay_rate
CNN S3,500,0.732,1.3104933333333333,1.8066666666666666,64.226,30.0,32.45628415300546,24.0,64.226,0.45337303352628555,0.6904558756551696,0.40680012156474865,11.600036339601,0.08144941184790327,0.021215405888507226,73.19,-3.3576654863585738,0.0008517456531730734,0.4255655391407128
CNN+Roles S3,500,0.752,1.37604,1.8266666666666667,57.394,27.0,26.523936170212767,21.0,57.394,0.3844608653074159,0.5929735611139182,0.35399790648440393,13.283541045314385,0.11477480310026934,0.022396790004959925,75.65,-3.1512396247939076,0.03482602350676768,0.29473742599443503
delta(B-A),0,0.020000000000000018,0.06554666666666664,0.020000000000000018,-6.832000000000001,-3.0,-5.932347982792695,-3.0,-6.832000000000001,-0.06891216821886964,-0.09748231454125145,-0.05280221508034472,1.6835047057133856,0.03332539125236607,0.0011813841164526988,2.460000000000008,0.20642586156466614,0.03397427785359461,-0.1308281131462778
