model,episodes,success_rate,mean_total_reward,median_total_reward,mean_steps,median_steps,mean_ttf_success_only,median_ttf_success_only,mean_ttf_or_episode_len_all,mean_revisit_fraction,mean_repeated_search_fraction,mean_co_occupancy_fraction,mean_pairwise_distance,mean_prob_at_search,mean_prob_at_visit,mean_unique_cells_total,mean_entropy_drop,mean_backtrack_rate,mean_stay_rate
CNN S1,500,0.898,1.69282,1.8900000000000001,21.518,12.0,12.489977728285078,11.0,21.518,0.20836595974429634,0.27148764897571653,0.11750236768353732,14.194820960414173,0.34173761891494153,0.07086630568417379,23.34,-1.9350436896787886,0.01054593385035098,0.18328735744207808
CNN+Roles S1,500,0.898,1.6814399999999998,1.8900000000000001,22.656,12.0,13.757238307349667,11.0,22.656,0.23035819871449228,0.31165606072089147,0.12697506774084974,14.202837392346327,0.3212604360296883,0.07016744113273686,23.524,-1.9968585912373142,0.0044383853769992395,0.21249652760677248
delta(B-A),0,0.0,-0.011380000000000168,0.0,1.1379999999999981,0.0,1.2672605790645886,0.0,1.1379999999999981,0.02199223897019595,0.04016841174517494,0.00947270005731242,0.008016431932153623,-0.020477182885253242,-0.0006988645514369313,0.18400000000000105,-0.06181490155852565,-0.00610754847335174,0.029209170164694404
