model,episodes,success_rate,mean_total_reward,median_total_reward,mean_steps,median_steps,mean_ttf_success_only,median_ttf_success_only,mean_ttf_or_episode_len_all,mean_revisit_fraction,mean_repeated_search_fraction,mean_co_occupancy_fraction,mean_pairwise_distance,mean_prob_at_search,mean_prob_at_visit,mean_unique_cells_total,mean_entropy_drop,mean_backtrack_rate,mean_stay_rate
CNN S5,500,0.766,1.44535,1.895,65.13,22.0,23.62402088772846,18.0,65.13,0.33057617258183314,0.6396132017005279,0.33631354972227195,17.87285913609276,0.1455383108018475,0.01710778779113933,114.31,-3.132205401733978,0.0032139303482587064,0.300724206252613
CNN+Roles S5,500,0.742,1.37636,1.8599999999999999,74.128,29.0,30.013477088948786,23.0,74.128,0.3979968016589946,0.7365734258461828,0.40711115079086924,15.777813171556813,0.10040100746162867,0.016592197706326736,123.474,-3.423575821452533,0.0034975124378109454,0.3623907252291311
delta(B-A),0,-0.02400000000000002,-0.06898999999999988,-0.03500000000000014,8.998000000000005,7.0,6.389456201220327,5.0,8.998000000000005,0.06742062907716145,0.09696022414565486,0.07079760106859728,-2.095045964535947,-0.04513730334021884,-0.0005155900848125942,9.164000000000001,-0.29137041971855515,0.000283582089552239,0.06166651897651815
