model,episodes,success_rate,mean_total_reward,median_total_reward,mean_steps,median_steps,mean_ttf_success_only,median_ttf_success_only,mean_ttf_or_episode_len_all,mean_revisit_fraction,mean_repeated_search_fraction,mean_co_occupancy_fraction,mean_pairwise_distance,mean_prob_at_search,mean_prob_at_visit,mean_unique_cells_total,mean_entropy_drop,mean_backtrack_rate,mean_stay_rate
CNN S6,500,0.382,0.65976,0.0,145.448,201.0,55.575916230366495,41.0,145.448,0.6907701807703611,0.8551670208768809,0.7084592673169677,6.810382371431151,0.008230610334378134,0.004218988473946832,168.728,-4.240090270257661,0.06058226944550714,0.45006939793093687
CNN+Roles S6,500,0.474,0.8075,0.0,134.3,201.0,60.28270042194093,46.0,134.3,0.6642868008665971,0.8424677082262988,0.6782950448545908,8.632209296892576,0.013650048109960799,0.005479609767417214,163.73,-4.075006415425869,0.039579736671684976,0.526242022867357
delta(B-A),0,0.09199999999999997,0.14773999999999998,0.0,-11.147999999999996,0.0,4.706784191574435,5.0,-11.147999999999996,-0.026483379903764037,-0.012699312650582106,-0.030164222462376933,1.8218269254614246,0.005419437775582665,0.0012606212934703816,-4.998000000000019,0.1650838548317921,-0.021002532773822163,0.07617262493642013
