model,episodes,success_rate,mean_total_reward,median_total_reward,mean_steps,median_steps,mean_ttf_success_only,median_ttf_success_only,mean_ttf_or_episode_len_all,mean_revisit_fraction,mean_repeated_search_fraction,mean_co_occupancy_fraction,mean_pairwise_distance,mean_prob_at_search,mean_prob_at_visit,mean_unique_cells_total,mean_entropy_drop,mean_backtrack_rate,mean_stay_rate
CNN S4,500,0.592,1.0598533333333333,1.7066666666666666,80.822,45.0,32.45608108108108,27.0,80.822,0.528764094651787,0.7177189829120255,0.5101653488566344,9.216275584057913,0.021826328541739215,0.009449615378038687,85.03,-3.201160854449978,0.006019828276340228,0.4472271702802546
CNN+Roles S4,500,0.592,1.0598800000000002,1.6666666666666667,80.818,51.0,32.44932432432432,24.5,80.818,0.529969941073919,0.6949177301826088,0.506619344827142,9.716297414306446,0.027052278077342486,0.010094363077837738,80.648,-3.1553602130742506,0.009243120391143209,0.45718164926211263
delta(B-A),0,0.0,2.6666666666841365e-05,-0.039999999999999813,-0.0040000000000048885,6.0,-0.006756756756757909,-2.5,-0.0040000000000048885,0.001205846422132062,-0.022801252729416688,-0.0035460040294924555,0.5000218302485333,0.005225949535603271,0.0006447476997990514,-4.382000000000005,0.04580064137572748,0.0032232921148029805,0.009954478981858028
